target,ratio,method,MAE,RMSE,MAPE,run_tag
PEMS07,0.01,scratch,84.4354,105.9418,0.608,scratch_r0.01_t07_0225_185815
PEMS07,0.01,full,33.0617,46.5423,0.2228,full_r0.01_t07_0225_185815
PEMS07,0.01,peft,34.3004,51.1917,0.1602,peft_r0.01_t07_0225_185815
PEMS07,0.05,scratch,41.5158,62.8206,0.4136,scratch_r0.05_t07_0225_185815
PEMS07,0.05,full,28.6406,43.8293,0.134,full_r0.05_t07_0225_185815
PEMS07,0.05,peft,28.5651,43.2029,0.1358,peft_r0.05_t07_0225_185815
