target,ratio,method,MAE,RMSE,MAPE,run_tag
PEMS07,0.01,scratch,129.9146,164.0389,1.4123,scratch_r0.01_t07_0225_163021
PEMS07,0.01,full,30.3654,43.9401,0.1743,full_r0.01_t07_0225_163021
PEMS07,0.01,peft,34.4073,51.0973,0.1633,peft_r0.01_t07_0225_163021
